date_found,company,role,location,remote_policy,employment_type,salary,score,priority,url,source,status,date_applied,confirmation,notes,date_posted,days_since_posted,posting_date_source,freshness_status
2026-09-15,Systems Limited,Forward Deployed Engineer - GenAI,Karachi Pakistan,onsite,full-time,,78,REVIEW,https://pk.linkedin.com/jobs/artificial-intelligence-jobs-kar%C4%81chi,LinkedIn,discovered,,,"FDE + GenAI. Pakistan's largest IT co. Exact target role title. Requirements need verification.",2026-09-08,7,LinkedIn relative timestamp (1 week ago),PASS
2026-09-15,Systems Limited,Forward Deployed Engineer - LLMOps,Karachi Pakistan,onsite,full-time,,75,REVIEW,https://pk.linkedin.com/jobs/artificial-intelligence-jobs-kar%C4%81chi,LinkedIn,discovered,,,"FDE + LLMOps. Infrastructure-heavy. Stretches profile.",2026-09-08,7,LinkedIn relative timestamp (1 week ago),PASS
2026-09-15,Systems Limited,AI Deployment Strategist,Karachi Pakistan,onsite,full-time,,73,REVIEW,https://pk.linkedin.com/jobs/artificial-intelligence-jobs-kar%C4%81chi,LinkedIn,discovered,,,"AI deployment strategy role. More strategic than engineering.",2026-09-12,3,LinkedIn relative timestamp (3 days ago),PASS
2026-09-15,Beam AI,Lead Engineer,Karachi Pakistan,hybrid,full-time,,70,REVIEW,https://beam.ai/careers,Beam AI careers,discovered,,,"YC-backed AI agents company. Karachi office. Likely senior.",2026-09-14,1,Beam AI careers page UTC timestamp,PASS
2026-09-15,Proto,Machine Learning Engineer,Karachi Pakistan,unknown,full-time,,70,REVIEW,https://pk.linkedin.com/jobs/artificial-intelligence-jobs-kar%C4%81chi,LinkedIn,discovered,,,"Conversational AI/NLP focus. Requires ML engineering skills.",2026-09-11,4,LinkedIn relative timestamp (4 days ago),PASS
2026-09-15,Digital Graphiks,Junior AI Developer,Karachi Gulshan-e-Iqbal,onsite,full-time,,82,FRESHNESS_FAIL,,,freshness_fail,,,"Claude AI and LLM tools. Would be APPLY if posting date confirmed.",,,,FAIL - unverifiable
2026-09-15,Tribe Consulting,AI Automation Intern,Karachi Gulshan-e-Iqbal,onsite,internship,PKR 15000-50000/month,81,FRESHNESS_FAIL,https://pk.indeed.com/viewjob?jk=c7c6c97656663e8f,Indeed Pakistan,freshness_fail,,,"Agentic AI focus. Would be APPLY if posting date confirmed.",,,,FAIL - unverifiable
2026-09-15,Inspurate,AI Engineer / Prompt Engineer,Karachi,onsite,full-time,,80,FRESHNESS_FAIL,,,freshness_fail,,,"AI-powered websites and chatbots. Would be APPLY if posting date confirmed.",,,,FAIL - unverifiable
2026-09-15,Dura Digital,AI Engineer,Remote worldwide,remote,contractor,$120000-140000/yr,57,SKIP,https://freehire.me/jobs/ai-engineer-duradigital-sxaia7sf,Freehire,skipped,,,"Requires 3+ yr + 1yr production ML. Pakistan eligible.",2026-09-07,8,Freehire exact date,FAIL - 8 days
2026-09-15,Aline,Software Engineer (AI & Agentic Solutions),Remote US states,remote,full-time,$100000/yr,55,SKIP,https://freehire.me/jobs/engineering-software-engineer-ai-agentic-solutions-aline-gfc33zu4,Freehire,skipped,,,"Requires 4-6yr + C#/.NET. US states listed.",2026-09-08,7,Freehire exact date,FAIL - requires C#/.NET not in profile
2026-09-15,Systems Limited,Full Stack Engineer (Python React AI/ML),Karachi Pakistan,onsite,full-time,,55,SKIP,https://freehire.me/jobs/full-stack-engineer-python-react-ai-ml-systems-limited-loau623h,Freehire,skipped,,,"Requires 6+ years. Too senior.",2026-09-15,0,Freehire relative timestamp (12h ago),PASS - but too senior
2026-09-15,Systems Limited,Client-Facing Full Stack Engineer,Karachi Pakistan,onsite,full-time,,55,SKIP,https://freehire.me/jobs/client-facing-full-stack-engineer-python-react-ai-ml-systems-limited-cem354je,Freehire,skipped,,,"Requires 6+ years. Too senior.",2026-09-15,0,Freehire relative timestamp (12h ago),PASS - but too senior
2026-09-15,EY,Senior Consultant AI Microsoft Copilot,Karachi Pakistan,onsite,full-time,,40,SKIP,,LinkedIn,skipped,,,"HR consulting + AI. Not engineering. Senior.",2026-09-14,1,LinkedIn relative timestamp (1 day ago),PASS - but wrong role type
2026-09-15,Domino Data Lab,FDE - New Grad 2027,New York NY,onsite,full-time,$150000,45,SKIP,https://app.careerpuck.com/job-board/domino-data-lab/job/7992530,CareerPuck,skipped,,,"NYC. US-only.",2026-09-09,6,FDE Pulse listing date,PASS - but US-only
